"","SAMPLE_ID","FQCbasicStats","perBaseQual","perTileQual","perSeqQual","perBaseContent","GCcontent","Ncontent","SeqLengthDist","SeqDuplication","OverrepSeqs","AdapterContent","KmerContent","SeqLength_R1","percentGC_R1","phred20-21_R1","phred48-49_R1","phred76-77_R1","phred100-101_R1","phredGT30_R1","phredGT35_R1","Adapter50-51_R1","Adapter70-71_R1","Adapter88-89_R1","SeqLength_R2","percentGC_R2","phred20-21_R2","phred48-49_R2","phred76-77_R2","phred100-101_R2","phredGT30_R2","phredGT35_R2","Adapter50-51_R2","Adapter70-71_R2","Adapter88-89_R2","bamFile","trimmed","numReads","numMapped","numUnmapped","overallMapRate","concordMapRate","totalMapped","mitoMapped","mitoRate","totalAssignedGene","gene_Assigned","gene_Unassigned_Ambiguity","gene_Unassigned_MultiMapping","gene_Unassigned_NoFeatures","gene_Unassigned_Unmapped","gene_Unassigned_MappingQuality","gene_Unassigned_FragmentLength","gene_Unassigned_Chimera","gene_Unassigned_Secondary","gene_Unassigned_Nonjunction","gene_Unassigned_Duplicate","rRNA_rate"
"SRR2453299","SRR2453299","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","48","41.0","40.0","34.0","34.5",0.954743077238683,0.85651058817195,0.0480498153470688,0.0584219155559554,0.0751889326243566,"101","48","41.0","40.0","35.0","34.5",0.924242958626694,0.814487425018603,0.0457258833310149,0.0549301549384939,0.0704331968740464,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453299_accepted_hits.sorted.bam",FALSE,42643244,41261783,1381461,0.9676,0.9379,41382511,936466,0.022128748528113,0.882550417176941,19125345,1059009,1014628,471559,0,0,0,0,0,0,0,1.20259268525614e-06
"SRR2453300","SRR2453300","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","48","41.0","40.0","33.5","34.5",0.957463440304701,0.874013296032815,0.0538491685696016,0.0655244237357109,0.082323924827153,"101","48","41.0","40.0","35.0","34.5",0.933133813647259,0.838341760897271,0.0511055154529614,0.0615227984994272,0.0777538235823721,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453300_accepted_hits.sorted.bam",FALSE,62799484,60600131,2199353,0.965,0.9351,60999344,1369211,0.0219535469436481,0.876603944120164,27998197,1555704,1690511,694980,0,0,0,0,0,0,0,1.32151366746937e-06
"SRR2453301","SRR2453301","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","47","41.0","40.0","34.0","34.5",0.928150440991479,0.795250343529907,0.0546834857767886,0.0690384112813003,0.0884418599461754,"101","47","41.0","40.0","35.0","34.5",0.90190993121038,0.768187874389934,0.050595497034252,0.0645314139024158,0.0828942836146452,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453301_accepted_hits.sorted.bam",FALSE,122431844,113473839,8958005,0.9268,0.8921,112187357,6005425,0.0508104208935534,0.780990516719752,48002691,2736237,5039181,5685750,0,0,0,0,0,0,0,4.68723722176325e-06
"SRR2453302","SRR2453302","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","49","41.0","40.0","33.5","34.5",0.920368865015632,0.764117651019303,0.0904689427129309,0.114281483106945,0.163715528658104,"101","49","40.0","39.0","35.0","34.5",0.879050744858687,0.715769935201947,0.0874284402602768,0.110926578130814,0.160217992293273,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453302_accepted_hits.sorted.bam",FALSE,130406078,125091453,5314625,0.9592,0.9289,127064030,3077267,0.0236455842298852,0.864047786523727,57819001,2788218,4773655,1535565,0,0,0,0,0,0,0,1.12419790857334e-06
"SRR2453303","SRR2453303","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","101","47","41.0","40.0","34.5","34.5",0.950064595648769,0.84405935315982,0.0207262740674151,0.03072932188306,0.0487055907477626,"101","47","41.0","40.0","35.0","34.5",0.919413442599523,0.80515372503454,0.0193128277772977,0.0294888721923677,0.0475061476584154,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453303_accepted_hits.sorted.bam",FALSE,78036216,74230664,3805552,0.9512,0.9185,73944857,2970653,0.0386222882744976,0.798122420316394,31638568,1863153,2659090,3480436,0,0,0,0,0,0,0,3.72962518404752e-06
"SRR2453304","SRR2453304","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","PASS","PASS","FAIL","101","47","41.0","40.0","33.5","34.5",0.961014290996077,0.877578274469813,0.0227261393660451,0.0332049875802582,0.0508344963683212,"101","47","41.0","40.0","35.0","34.5",0.938604274535279,0.844845823629781,0.021891346426548,0.0323372422878863,0.0502852904870731,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453304_accepted_hits.sorted.bam",FALSE,9104054,8663571,440483,0.9516,0.9202,8556803,343860,0.0386330771089749,0.811856605112891,3714835,218183,236200,406510,0,0,0,0,0,0,0,6.99896496075869e-06
"SRR2453305","SRR2453305","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","48","41.0","40.0","33.5","34.5",0.928706954014549,0.780691630195512,0.0230287729909098,0.0305243503080157,0.0433260842725021,"101","48","40.0","39.0","35.0","34.5",0.888695999825697,0.734060813816166,0.021821580283452,0.0291922755963381,0.0419160690191838,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453305_accepted_hits.sorted.bam",FALSE,112906580,108785086,4121494,0.9635,0.9322,108994058,3403711,0.0302827274089399,0.867540033138217,50183896,2541646,3526139,1594521,0,0,0,0,0,0,0,1.33508964708519e-06
"SRR2453306","SRR2453306","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","47","41.0","40.0","34.5","34.5",0.949918124613646,0.845500647065893,0.0253824034931581,0.0354207564284336,0.0532839459253006,"101","47","41.0","40.0","35.0","34.5",0.919877156807657,0.807672146629077,0.0240711478545341,0.0344533261757727,0.0523457295943229,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453306_accepted_hits.sorted.bam",FALSE,88998664,84597593,4401071,0.9505,0.9187,85269664,2463837,0.0280831948106117,0.803527742317588,36289353,2200299,3055931,3616956,0,0,0,0,0,0,0,3.60987422399071e-06
"SRR2453307","SRR2453307","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","48","41.0","40.0","33.5","34.5",0.928663622941267,0.786266765843192,0.0616356465051217,0.0723153792407843,0.0866507616087405,"101","47","40.5","39.0","35.0","34.5",0.88735478209635,0.738338901434533,0.0577916584064554,0.0660606587725477,0.0794910748095832,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453307_accepted_hits.sorted.bam",FALSE,106191796,102163019,4028777,0.9621,0.932,101541694,3755667,0.0356672471592142,0.877047902728397,47395331,2192133,2971592,1480559,0,0,0,0,0,0,0,1.26594748330801e-06
"SRR2453308","SRR2453308","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","46","41.0","40.0","34.5","34.5",0.951482252117144,0.849462141878122,0.0256346221244806,0.0355674325942808,0.0534704413418454,"101","46","41.0","40.0","35.0","34.5",0.922316774566155,0.812409010940352,0.0241071302880149,0.0339485289184096,0.0518250282325466,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453308_accepted_hits.sorted.bam",FALSE,109395020,103205699,6189321,0.9434,0.9099,102811210,4357947,0.0406641903509608,0.790497787481535,43761235,2530651,3967904,5099296,0,0,0,0,0,0,0,4.77591640181087e-06
"SRR2453309","SRR2453309","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","48","41.0","40.0","34.0","34.5",0.957245422031827,0.859049932777418,0.0225469946039394,0.0313840308974393,0.0519645368040474,"101","48","41.0","40.0","35.0","34.5",0.930967995449967,0.822645916477727,0.0216527822769491,0.0304586816885516,0.0507725780439134,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453309_accepted_hits.sorted.bam",FALSE,102772012,100019117,2752895,0.9732,0.9497,99958446,3293747,0.0319000197894102,0.868227784290661,45736195,2679108,3064770,1197572,0,0,0,0,0,0,0,1.85848429236407e-06
"SRR2453310","SRR2453310","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","46","41.0","40.0","34.0","34.5",0.934467263023542,0.805270419835591,0.0366441744312838,0.0485288050834699,0.0700314611997647,"101","46","41.0","40.0","35.0","34.5",0.912846629269563,0.784395054305949,0.0338247235759254,0.0456572340978628,0.067041378965616,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453310_accepted_hits.sorted.bam",FALSE,161166136,151816899,9349237,0.942,0.9062,148979665,9146113,0.0578407462444232,0.785379438845149,64136877,3720925,6258390,7547363,0,0,0,0,0,0,0,3.461347205914e-06
"SRR2453311","SRR2453311","PASS","PASS","PASS/WARN","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","48","41.0","40.0","34.0","34.5",0.952848546369907,0.854855337822574,0.0516187977877283,0.0652086727189603,0.0916754697126258,"101","48","41.0","40.0","35.0","34.5",0.921653802847674,0.813420655104866,0.0465919329323974,0.0585715613016321,0.0832286196082645,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453311_accepted_hits.sorted.bam",FALSE,118801682,114742047,4059635,0.9658,0.9388,115909216,2588260,0.021842321772322,0.869272884122949,52730154,2989699,3609614,1330603,0,0,0,0,0,0,0,2.06712842143416e-06
"SRR2453312","SRR2453312","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","101","46","41.0","40.0","34.0","34.5",0.934556305831856,0.803500476990971,0.0258387640552919,0.0365562177547231,0.0598400904482967,"101","46","41.0","40.0","35.0","34.5",0.914080429382569,0.784067314117745,0.0237466983931346,0.0346792024176144,0.058510050937942,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453312_accepted_hits.sorted.bam",FALSE,42780684,40593281,2187403,0.9489,0.9158,39785494,2160446,0.0515054853938188,0.796050643891437,17223741,1011328,1384835,2016585,0,0,0,0,0,0,0,5.1672862475115e-06
"SRR2453313","SRR2453313","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","PASS","PASS","WARN","101","46","41.0","41.0","34.5","35.0",0.970813950330368,0.912379773650497,0.037246404364037,0.0536387021180013,0.081088526167539,"101","46","41.0","41.0","35.5","34.5",0.957273330410525,0.890901013800569,0.0333665705761165,0.0507288267770609,0.0775966757584105,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453313_accepted_hits.sorted.bam",FALSE,1030972,963800,67172,0.9348,0.9036,934071,51013,0.0517854314961973,0.814121563849555,412285,24159,21923,48050,0,0,0,0,0,0,0,9.70202651078744e-06
"SRR2453314","SRR2453314","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","101","46","41.0","40.0","33.5","34.5",0.963295354353714,0.883272500022055,0.0315031964408686,0.0431794558032825,0.0671644385769079,"101","46","41.0","40.0","35.0","34.5",0.944455450400029,0.855615009338413,0.0298555465086168,0.0420896715961239,0.0666195464733286,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453314_accepted_hits.sorted.bam",FALSE,30831792,29366554,1465238,0.9525,0.9215,28805594,1553280,0.0511639529186754,0.795734006507168,12437196,732539,1014606,1445500,0,0,0,0,0,0,0,4.66343056746874e-06
"SRR2453315","SRR2453315","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","46","41.0","40.0","34.0","34.5",0.937640620274426,0.809673301652025,0.0349558664540512,0.0589748805401678,0.0995849911545842,"101","45","41.0","40.0","35.0","34.5",0.913916456583519,0.786702550630693,0.0325186260194373,0.0565040296188669,0.0967069731945613,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453315_accepted_hits.sorted.bam",FALSE,104134166,98699284,5434882,0.9478,0.9156,98221154,4193904,0.0409500720099187,0.769030414903345,40555731,2367068,3598433,6214954,0,0,0,0,0,0,0,6.04106975657768e-06
"SRR2453316","SRR2453316","PASS","PASS","WARN/PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","46","41.0","40.0","34.0","34.5",0.936659873480627,0.810134830966224,0.0220188825595504,0.0305257275815445,0.0449743803522109,"101","45","41.0","40.0","35.0","34.5",0.910629482744574,0.78472052491684,0.019583682953464,0.0278863557659124,0.0423003190835007,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453316_accepted_hits.sorted.bam",FALSE,100895220,95222589,5672631,0.9438,0.9101,95197647,3524308,0.0356993335474363,0.776524774888326,39537325,2276741,3409341,5692322,0,0,0,0,0,0,0,6.80369751873704e-06
"SRR2453317","SRR2453317","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","45","41.0","40.0","34.0","34.5",0.93784427177751,0.811362590066979,0.0265773546104846,0.0348651766444658,0.0492742946205575,"101","45","41.0","40.0","35.0","34.5",0.909665621095536,0.783352298259429,0.0238420108574279,0.0317915165046906,0.0459980164250003,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453317_accepted_hits.sorted.bam",FALSE,107591596,101496343,6095253,0.9433,0.9081,100768243,4525217,0.0429771896564136,0.775742328797236,42114131,2426044,3659223,6089416,0,0,0,0,0,0,0,5.69879976865722e-06
"SRR2453318","SRR2453318","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","PASS","PASS","FAIL","101","48","41.0","40.0","34.5","34.5",0.958829691019284,0.86873991603425,0.0251462762836007,0.0322591689762922,0.0447098888037531,"101","48","41.0","40.0","35.0","34.5",0.930976201724241,0.83038270219114,0.02382687889572,0.0309504589015681,0.043097076091027,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453318_accepted_hits.sorted.bam",FALSE,102925776,99482008,3443768,0.9665,0.9387,100037779,2447813,0.0238844597785023,0.876810591937722,46042628,2364844,2895600,1208415,0,0,0,0,0,0,0,1.19454519407537e-06
"SRR2453319","SRR2453319","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","47","41.0","40.0","34.0","34.5",0.951447379103153,0.847694925159847,0.0361759965448853,0.0466410075421543,0.0639703919501067,"101","47","41.0","40.0","35.0","34.5",0.917114983869658,0.803660975756409,0.0343850361338838,0.0446628794853264,0.0617197010090442,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453319_accepted_hits.sorted.bam",FALSE,85484860,82322869,3161991,0.963,0.9285,82137594,2680033,0.0315975946839447,0.87472637080022,38196065,1858208,2414868,1197160,0,0,0,0,0,0,0,1.20431253847746e-06
"SRR2453320","SRR2453320","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","47","41.0","40.0","34.0","34.5",0.951206937047435,0.848909814399319,0.050102961783386,0.0616342503689214,0.0799385904470394,"101","47","41.0","40.0","35.0","34.5",0.919437293845569,0.807386272277665,0.0478611698356498,0.0589478311694151,0.0768946038772284,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453320_accepted_hits.sorted.bam",FALSE,96485314,93189198,3296116,0.9658,0.9315,93258980,3015507,0.0313219742214778,0.870285265454911,43165580,2121095,3045205,1267466,0,0,0,0,0,0,0,1.18149692416967e-06
"SRR2453321","SRR2453321","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN/PASS","PASS","FAIL","101","47","41.0","41.0","34.5","34.5",0.966996770930562,0.904807447237463,0.0538810065413751,0.0694033185359728,0.0962229507814834,"101","47","41.0","41.0","35.0","34.5",0.951387047208212,0.881387861988804,0.0515762158567511,0.0679981928682909,0.095920773218541,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453321_accepted_hits.sorted.bam",FALSE,72804876,68874704,3930172,0.946,0.9134,68920312,2408791,0.0337701008240634,0.790290248650049,28990949,1703453,2352355,3637169,0,0,0,0,0,0,0,4.38067756940278e-06
"SRR2453322","SRR2453322","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","PASS","PASS","PASS","FAIL","101","47","41.0","40.0","33.5","34.5",0.959418633651657,0.875612356614542,0.0441001120618907,0.0577135739347583,0.0829588654182071,"101","47","41.0","40.0","35.0","34.5",0.938119487266137,0.844991916933728,0.0424761116575908,0.0568634654198721,0.0827536668111656,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453322_accepted_hits.sorted.bam",FALSE,17056646,16201265,855381,0.9499,0.918,16109174,564178,0.0338371072595361,0.799120691428271,6845852,399898,461584,859397,0,0,0,0,0,0,0,5.25865881996865e-06
"SRR2453323","SRR2453323","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","47","41.0","40.0","34.0","34.5",0.951028042626278,0.848968356099154,0.070094439421574,0.0788253566703247,0.0930725845812184,"101","47","41.0","40.0","35.0","34.5",0.917565337965662,0.805212000673214,0.0671704058146811,0.0756919732394641,0.0896188844798062,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453323_accepted_hits.sorted.bam",FALSE,87413496,84453751,2959745,0.9661,0.9323,84983026,1952985,0.0224646263100339,0.880332160398804,39297179,1911993,2347591,1082273,0,0,0,0,0,0,0,1.22146172375376e-06
"SRR2453324","SRR2453324","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","101","46","41.0","41.0","34.5","35.0",0.969115698232152,0.911933944330912,0.0364514424516202,0.0476690224757744,0.068085887539113,"101","46","41.0","41.0","35.5","34.5",0.955636137391612,0.891276746910901,0.0341661115147931,0.045777000305249,0.0666865363495341,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453324_accepted_hits.sorted.bam",FALSE,48308102,46050027,2258075,0.9533,0.9209,45610308,1997549,0.0419583893473718,0.795226590882564,19451811,1154728,1516013,2338163,0,0,0,0,0,0,0,3.6500457463832e-06
"SRR2453325","SRR2453325","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","PASS","PASS","FAIL","101","46","41.0","40.0","34.0","34.5",0.962687424497974,0.884557587565665,0.0313377202328125,0.0416437973766124,0.060992718341776,"101","46","41.0","40.0","35.0","34.5",0.943290166982284,0.856399640116744,0.0297169680455359,0.0401994211626571,0.0596985000510537,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453325_accepted_hits.sorted.bam",FALSE,41955828,40234816,1721012,0.959,0.9274,39843911,1754460,0.0421761707928419,0.795090485998869,16982158,1007150,1319942,2049524,0,0,0,0,0,0,0,4.12197319092191e-06
"SRR2453326","SRR2453326","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN/PASS","PASS","FAIL","101","47","41.0","41.0","34.5","34.5",0.967171173345842,0.904245965537496,0.0460883647265259,0.0584923119705676,0.0771263859879183,"101","47","41.0","41.0","35.0","34.5",0.952439656038709,0.88159758335999,0.0436771301220767,0.0564156030461312,0.0755696823284524,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453326_accepted_hits.sorted.bam",FALSE,30192002,28665008,1526994,0.9494,0.9181,28705289,888394,0.0300197173836051,0.782076805832666,11888355,695205,885023,1732424,0,0,0,0,0,0,0,6.89750600482573e-06
"SRR2453327","SRR2453327","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN/PASS","PASS","FAIL","101","47","41.0","40.0","33.5","34.5",0.959105725399594,0.874014165430233,0.0395694783286414,0.0507923713701604,0.0681974341561007,"101","47","41.0","40.0","35.0","34.5",0.937882364604496,0.843127263137091,0.0379371300875386,0.0497526972459372,0.0676985502193333,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453327_accepted_hits.sorted.bam",FALSE,50111856,47783502,2328354,0.9535,0.9226,47919915,1483977,0.0300376537135981,0.778912297375577,19759490,1155903,1556843,2895819,0,0,0,0,0,0,0,5.26329373885662e-06
"SRR2453328","SRR2453328","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","45","41.0","40.0","34.5","34.5",0.95117190500367,0.847763542294466,0.0282673472532385,0.0368057435896388,0.0518580448310702,"101","45","41.0","40.0","35.5","34.5",0.928606687336692,0.822117821018276,0.0258492342613823,0.0345174193285378,0.0494856770475949,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453328_accepted_hits.sorted.bam",FALSE,93998916,89626813,4372103,0.9535,0.9189,88263655,4603494,0.0495707475632745,0.780735423978463,37284708,2127064,3141379,5202730,0,0,0,0,0,0,0,3.88899384702168e-06
"SRR2453329","SRR2453329","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN","PASS","FAIL","101","44","41.0","40.0","34.5","34.5",0.950143108477486,0.847621716868265,0.0491577854430505,0.0627315309023598,0.0859343079084078,"101","44","41.0","40.0","35.5","34.5",0.925279501117321,0.818750068579078,0.0459506272352056,0.060144040397256,0.0838652223351092,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453329_accepted_hits.sorted.bam",FALSE,66164494,63052490,3112004,0.953,0.9136,62312582,2941223,0.0450735861303414,0.776246805267475,26098169,1470792,2150413,3901594,0,0,0,0,0,0,0,3.98495388699491e-06
"SRR2453330","SRR2453330","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN","PASS","FAIL","101","44","41.0","40.5","34.5","34.5",0.966435693111315,0.896900874546498,0.0554303376478448,0.0697823071477782,0.0945252446643711,"101","44","41.0","40.5","36.0","34.5",0.944761258776668,0.865703103222633,0.0542876272049871,0.0698888811787182,0.0954370447068587,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453330_accepted_hits.sorted.bam",FALSE,16889668,16121412,768256,0.9545,0.916,15831804,746889,0.0450511388322348,0.784519279973599,6691922,378241,453774,1006028,0,0,0,0,0,0,0,3.88528138851589e-06
"SRR2453331","SRR2453331","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN/PASS","PASS","FAIL","101","46","41.0","40.0","34.5","34.5",0.948891253192476,0.845098560986778,0.0315923729347244,0.0418696650209766,0.0584691371304138,"101","45","41.0","40.0","35.0","34.5",0.92539644065323,0.8176481423263,0.0289818048788209,0.0396984558335556,0.0552004130185103,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453331_accepted_hits.sorted.bam",FALSE,113346978,107087002,6259976,0.9448,0.911,105710667,5496942,0.0494295493755288,0.764810717085775,43787386,2509139,4048009,6908045,0,0,0,0,0,0,0,5.34400477799702e-06
"SRR2453332","SRR2453332","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","FAIL","WARN","PASS","FAIL","101","47","41.0","40.0","34.5","34.5",0.94473760947223,0.853180359694686,0.0737779252276126,0.0942539186112626,0.121481807018858,"101","47","41.0","40.0","35.0","34.5",0.912453851352244,0.810304716826315,0.070704703525399,0.0898255630486093,0.11516577376289,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453332_accepted_hits.sorted.bam",FALSE,63093398,60182810,2910588,0.9539,0.9155,60634674,1361305,0.0219579563377812,0.873362666702959,27851104,1454638,1738226,845538,0,0,0,0,0,0,0,1.75935575121187e-06
"SRR2453333","SRR2453333","PASS","PASS","PASS","PASS","FAIL","PASS","PASS","PASS","WARN","WARN","PASS","FAIL","101","47","41.0","40.0","33.5","34.5",0.947806852908009,0.864186091721398,0.0832372518509679,0.10332941104883,0.13093686755138,"101","47","41.0","40.0","35.0","34.5",0.920498190717857,0.824930872699082,0.0794124317716108,0.0976949137005213,0.124041918131465,"/dcl01/lieber/ajaffe/lab/libd_stem_timecourse/scorecard/HISAT2_out/SRR2453333_accepted_hits.sorted.bam",FALSE,25308380,24137247,1171133,0.9537,0.9152,24167613,544397,0.0220296527882596,0.883519938490214,11215327,583388,547442,347758,0,0,0,0,0,0,0,1.51578282113397e-06
