Run,Sample_Name,SRA_Study,Organism,gender,Library,sample_type,source,cell_type
SRR4047361,GSM2287102,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047362,GSM2287103,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047363,GSM2287104,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047364,GSM2287105,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047365,GSM2287106,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047366,GSM2287107,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047367,GSM2287108,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047368,GSM2287109,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047369,GSM2287110,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047370,GSM2287111,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047371,GSM2287112,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047372,GSM2287113,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047373,GSM2287114,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047374,GSM2287115,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047375,GSM2287116,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047376,GSM2287117,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047377,GSM2287118,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047378,GSM2287119,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047379,GSM2287120,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047380,GSM2287121,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047381,GSM2287122,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047382,GSM2287123,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047383,GSM2287124,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047384,GSM2287125,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047385,GSM2287126,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047386,GSM2287127,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047387,GSM2287128,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047388,GSM2287129,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047389,GSM2287130,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047390,GSM2287131,SRP082522,Homo_sapiens,male,PAIRED,Pooled,iPSC-derived neural progenitor cells,NPC
SRR4047391,GSM2287132,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047392,GSM2287133,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047393,GSM2287134,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047394,GSM2287135,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047395,GSM2287136,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,iPSC-derived neural progenitor cells,NPC
SRR4047396,GSM2287137,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047397,GSM2287138,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047398,GSM2287139,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047399,GSM2287140,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047400,GSM2287141,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047401,GSM2287142,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047402,GSM2287143,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047403,GSM2287144,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047404,GSM2287145,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047405,GSM2287146,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047406,GSM2287147,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047407,GSM2287148,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047408,GSM2287149,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047409,GSM2287150,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047410,GSM2287151,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047411,GSM2287152,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047412,GSM2287153,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047413,GSM2287154,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047414,GSM2287155,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047415,GSM2287156,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047416,GSM2287157,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047417,GSM2287158,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047418,GSM2287159,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047419,GSM2287160,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047420,GSM2287161,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047421,GSM2287162,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047422,GSM2287163,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047423,GSM2287164,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047424,GSM2287165,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047425,GSM2287166,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047426,GSM2287167,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047427,GSM2287168,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047428,GSM2287169,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047429,GSM2287170,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047430,GSM2287171,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047431,GSM2287172,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047432,GSM2287173,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047433,GSM2287174,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047434,GSM2287175,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047435,GSM2287176,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047436,GSM2287177,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047437,GSM2287178,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047438,GSM2287179,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047439,GSM2287180,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047440,GSM2287181,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047441,GSM2287182,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047442,GSM2287183,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047443,GSM2287184,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047444,GSM2287185,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047445,GSM2287186,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047446,GSM2287187,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047447,GSM2287188,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047448,GSM2287189,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047449,GSM2287190,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047450,GSM2287191,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047451,GSM2287192,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047452,GSM2287193,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047453,GSM2287194,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047454,GSM2287195,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047455,GSM2287196,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047456,GSM2287197,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047457,GSM2287198,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
SRR4047458,GSM2287199,SRP082522,Homo_sapiens,male,PAIRED,Single_Cell,Skin fibroblast-derived induced pluripotent cells (iPSCs),iPSC
